Train loss	Valid loss	Test loss	
1.042401	1.079829	1.052113	
0.923123	0.949018	0.941783	
0.849830	0.897409	0.885157	
0.743729	0.774277	0.811351	
0.695379	0.677695	0.692776	
0.684267	0.613762	0.676898	
0.566062	0.603318	0.618843	
0.570501	0.543575	0.506821	
0.502535	0.533237	0.540553	
0.461072	0.451535	0.469725	
0.399012	0.371813	0.378736	
0.409585	0.431115	0.336648	
0.399372	0.384046	0.393428	
0.369509	0.362761	0.287567	
0.335809	0.274282	0.320632	
0.312266	0.230443	0.253125	
0.291717	0.221683	0.243799	
0.207053	0.196820	0.193828	
0.265008	0.205010	0.265002	
0.215206	0.206000	0.179895	
0.177478	0.185068	0.144222	
0.218047	0.170851	0.140564	
0.125345	0.133153	0.121715	
0.124260	0.189349	0.184571	
0.141237	0.124458	0.135592	
0.103619	0.142818	0.110191	
0.162125	0.087971	0.101289	
0.163828	0.101105	0.069703	
0.065156	0.093260	0.147834	
0.069659	0.055612	0.144427	
0.135640	0.098493	0.078045	
0.065098	0.144669	0.087698	
0.080294	0.074636	0.074312	
0.049930	0.113157	0.116752	
0.115121	0.080954	0.108458	
0.107057	0.107646	0.067114	
0.062263	0.062487	0.112870	
0.062471	0.100184	0.097068	
0.048865	0.037490	0.104412	
0.117092	0.069456	0.080898	
0.045940	0.070330	0.089558	
0.083329	0.076868	0.113197	
0.025784	0.022344	0.060708	
0.106218	0.020030	0.105250	
0.044368	0.022641	0.079261	
0.084391	0.062180	0.044870	
0.104668	0.078388	0.014689	
0.084561	0.106849	0.021586	
0.063189	0.010755	0.072203	
0.062564	0.013958	0.080226	
0.045693	0.027510	0.007581	
0.032124	0.035795	0.065643	
0.091531	0.016191	0.054544	
0.023475	0.056036	0.085382	
0.093398	0.019454	0.077990	
0.075429	0.085233	0.099152	
0.083529	0.043802	0.081640	
0.076241	0.094392	0.039671	
0.079105	0.067833	0.071677	
0.031183	0.060561	0.026328	
0.082538	0.024535	0.034079	
0.072766	0.049338	0.013382	
0.014513	0.098081	0.062824	
0.052804	0.075930	0.088663	
0.031627	0.019518	0.047229	
0.018878	0.016347	0.081656	
0.096209	0.059628	0.030626	
0.054888	0.086885	0.089446	
0.065763	0.065067	0.049446	
0.005244	0.082128	0.002127	
0.030861	0.064850	0.057528	
0.018058	0.059382	0.032720	
0.057102	0.082626	0.062330	
0.076905	0.032438	0.033674	
0.061479	0.014153	0.045935	
0.038216	0.085318	0.022253	
0.065690	0.019870	0.089212	
0.057097	0.005097	0.085565	
0.041708	0.077043	0.016933	
0.018808	0.073743	0.061200	
0.014108	0.078314	0.018968	
0.032604	0.093798	0.092206	
0.033937	0.048693	0.062663	
0.074389	0.064284	0.062235	
0.071303	0.035118	0.053411	
0.056274	0.086001	0.074191	
0.041150	0.012083	0.061097	
0.099548	0.017258	0.057251	
0.055460	0.073744	0.003453	
0.046000	0.026655	0.070284	
0.049932	0.071220	0.029251	
0.016349	0.093709	0.029792	
0.036227	0.005151	0.046863	
0.044000	0.031249	0.065411	
0.095491	0.000984	0.027441	
0.038145	0.011694	0.037159	
0.057324	0.076347	0.024156	
0.015017	0.024525	0.096594	
0.030510	0.000646	0.039742	
0.020955	0.032655	0.099952	
